,time,Z
2921,2.921,0.977496
2922,2.922,0.98018
2923,2.923,0.983191
2924,2.924,0.98571
2925,2.925,0.988781
2926,2.926,0.991345
2927,2.927,0.994302
2928,2.928,0.996729
2929,2.929,0.999577
2930,2.93,1.002475
2931,2.931,1.005006
2932,2.932,1.007698
2933,2.933,1.010545
2934,2.934,1.013151
2935,2.935,1.01582
2936,2.936,1.018527
2937,2.937,1.02117
2938,2.938,1.023792
2939,2.939,1.026431
2940,2.94,1.029016
2941,2.941,1.031648
2942,2.942,1.034245
2943,2.943,1.036862
2944,2.944,1.039297
2945,2.945,1.04207
2946,2.946,1.04443
2947,2.947,1.046979
2948,2.948,1.049675
2949,2.949,1.052125
2950,2.95,1.054644
2951,2.951,1.056802
2952,2.952,1.05972
2953,2.953,1.061929
2954,2.954,1.064787
2955,2.955,1.066833
2956,2.956,1.069436
2957,2.957,1.07183
2958,2.958,1.07416
2959,2.959,1.076426
2960,2.96,1.078851
2961,2.961,1.081134
2962,2.962,1.083305
2963,2.963,1.085619
2964,2.964,1.087984
2965,2.965,1.090218
2966,2.966,1.092247
2967,2.967,1.094582
2968,2.968,1.096795
2969,2.969,1.099123
2970,2.97,1.101392
2971,2.971,1.103641
2972,2.972,1.106041
2973,2.973,1.107764
2974,2.974,1.110078
2975,2.975,1.112336
2976,2.976,1.114191
2977,2.977,1.116621
2978,2.978,1.118638
2979,2.979,1.120692
2980,2.98,1.122739
2981,2.981,1.124747
2982,2.982,1.126929
2983,2.983,1.128689
2984,2.984,1.130918
2985,2.985,1.132954
2986,2.986,1.134925
2987,2.987,1.136906
2988,2.988,1.138887
2989,2.989,1.140922
2990,2.99,1.142661
2991,2.991,1.144784
2992,2.992,1.146866
2993,2.993,1.14894
2994,2.994,1.151144
2995,2.995,1.152958
2996,2.996,1.154569
2997,2.997,1.156463
2998,2.998,1.158441
2999,2.999,1.16024
3000,3.0,1.162105
3001,3.001,1.164144
3002,3.002,1.165985
3003,3.003,1.1678
3004,3.004,1.169598
3005,3.005,1.171169
3006,3.006,1.173131
3007,3.007,1.174602
3008,3.008,1.17633
3009,3.009,1.178131
3010,3.01,1.179695
3011,3.011,1.181053
3012,3.012,1.182608
3013,3.013,1.184214
3014,3.014,1.185502
3015,3.015,1.187027
3016,3.016,1.188448
3017,3.017,1.189746
3018,3.018,1.19121
3019,3.019,1.192528
3020,3.02,1.193703
3021,3.021,1.194943
3022,3.022,1.196041
3023,3.023,1.197499
3024,3.024,1.198649
3025,3.025,1.199559
3026,3.026,1.200724
3027,3.027,1.201675
3028,3.028,1.202568
3029,3.029,1.203299
3030,3.03,1.204169
3031,3.031,1.204825
3032,3.032,1.205699
3033,3.033,1.206438
3034,3.034,1.207243
3035,3.035,1.207834
3036,3.036,1.208528
3037,3.037,1.209429
3038,3.038,1.210135
3039,3.039,1.210543
3040,3.04,1.211028
3041,3.041,1.211721
3042,3.042,1.212166
3043,3.043,1.212698
3044,3.044,1.213353
3045,3.045,1.213978
3046,3.046,1.214647
3047,3.047,1.215293
3048,3.048,1.215899
3049,3.049,1.216481
3050,3.05,1.21706
3051,3.051,1.217598
3052,3.052,1.218088
3053,3.053,1.218575
3054,3.054,1.219043
3055,3.055,1.219444
3056,3.056,1.219814
3057,3.057,1.220212
3058,3.058,1.220494
3059,3.059,1.220788
3060,3.06,1.221005
3061,3.061,1.22124
3062,3.062,1.221461
3063,3.063,1.221587
3064,3.064,1.221708
3065,3.065,1.221807
3066,3.066,1.221854
3067,3.067,1.221889
3068,3.068,1.221897
3069,3.069,1.221907
3070,3.07,1.221857
3071,3.071,1.221785
3072,3.072,1.221724
3073,3.073,1.22153
3074,3.074,1.22147
3075,3.075,1.221312
3076,3.076,1.221146
3077,3.077,1.220934
3078,3.078,1.220683
3079,3.079,1.220481
3080,3.08,1.220256
3081,3.081,1.219968
3082,3.082,1.219645
3083,3.083,1.219352
3084,3.084,1.219028
3085,3.085,1.218702
3086,3.086,1.218197
3087,3.087,1.217914
3088,3.088,1.217466
3089,3.089,1.217015
3090,3.09,1.216506
3091,3.091,1.216076
3092,3.092,1.21554
3093,3.093,1.21501
3094,3.094,1.214449
3095,3.095,1.213903
3096,3.096,1.213299
3097,3.097,1.212661
3098,3.098,1.21209
3099,3.099,1.211347
3100,3.1,1.21074
3101,3.101,1.209963
3102,3.102,1.209311
3103,3.103,1.208514
3104,3.104,1.207737
3105,3.105,1.20696
3106,3.106,1.206157
3107,3.107,1.205289
3108,3.108,1.204397
3109,3.109,1.203553
